,0,1,2,3,4
0,2020-03-01,1583.93500,XAU,USD,50.92468752692624
1,2020-02-29,1584.81500,XAU,USD,50.95298018099582
2,2020-02-28,1584.81500,XAU,USD,50.95298018099582
3,2020-02-27,1645.59000,XAU,USD,52.906941602675964
4,2020-02-26,1643.09000,XAU,USD,52.82656474452376
5,2020-02-25,1639.64000,XAU,USD,52.71564468027372
6,2020-02-24,1654.29000,XAU,USD,53.18665306904565
7,2020-02-23,1665.72500,XAU,USD,53.55429681823384
8,2020-02-22,1643.80000,XAU,USD,52.84939177223899
9,2020-02-21,1643.80000,XAU,USD,52.84939177223899
10,2020-02-20,1621.96000,XAU,USD,52.147219539421314
11,2020-02-19,1610.26500,XAU,USD,51.77121659698529
12,2020-02-18,1600.72000,XAU,USD,51.46433775256016
13,2020-02-17,1584.28500,XAU,USD,50.93594028706756
14,2020-02-16,1583.17500,XAU,USD,50.90025296204797
15,2020-02-15,1584.00500,XAU,USD,50.926938078954514
16,2020-02-14,1584.00500,XAU,USD,50.926938078954514
17,2020-02-13,1577.28500,XAU,USD,50.710885084241376
18,2020-02-12,1570.16500,XAU,USD,50.48197179222389
19,2020-02-11,1567.10000,XAU,USD,50.38342976412928
20,2020-02-10,1572.05500,XAU,USD,50.542736696986964
21,2020-02-09,1574.74000,XAU,USD,50.62906144264243
22,2020-02-08,1570.16000,XAU,USD,50.48181103850759
23,2020-02-07,1570.16000,XAU,USD,50.48181103850759
24,2020-02-06,1565.87500,XAU,USD,50.344045103634706
25,2020-02-05,1556.39000,XAU,USD,50.03909530380523
26,2020-02-04,1554.09500,XAU,USD,49.965309348021506
27,2020-02-03,1579.06000,XAU,USD,50.76795265352944
28,2020-02-02,1589.60500,XAU,USD,51.10698224121545
29,2020-02-01,1589.05000,XAU,USD,51.08913857870566
30,2020-01-31,1589.05000,XAU,USD,51.08913857870566
31,2020-01-30,1574.91000,XAU,USD,50.63452706899678
32,2020-01-29,1577.05000,XAU,USD,50.70332965957507
33,2020-01-28,1568.58000,XAU,USD,50.43101286415539
34,2020-01-27,1581.19000,XAU,USD,50.836433736675126
35,2020-01-26,1583.10500,XAU,USD,50.898002410019714
36,2020-01-25,1571.07000,XAU,USD,50.51106821487499
37,2020-01-24,1571.07000,XAU,USD,50.51106821487499
38,2020-01-23,1561.09500,XAU,USD,50.19036455084768
39,2020-01-22,1561.48500,XAU,USD,50.20290334071942
40,2020-01-21,1556.40500,XAU,USD,50.03957756495414
41,2020-01-20,1561.34500,XAU,USD,50.19840223666291
42,2020-01-19,1557.19500,XAU,USD,50.06497665213024
43,2020-01-18,1556.96500,XAU,USD,50.057581981180235
44,2020-01-17,1556.96500,XAU,USD,50.057581981180235
45,2020-01-16,1552.38000,XAU,USD,49.910170823329096
46,2020-01-15,1556.45500,XAU,USD,50.04118510211719
47,2020-01-14,1549.39000,XAU,USD,49.81404010097906
48,2020-01-13,1545.29000,XAU,USD,49.68222205360943
49,2020-01-12,1559.49000,XAU,USD,50.13876260791397
50,2020-01-11,1562.02000,XAU,USD,50.220103988364
